"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"14512","02:18:54.445773","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=932730 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14513","02:18:54.445802","10.140.212.198","10.224.168.94" ,"TCP"     ,"1176"  ,"52372  >  3478 [PSH, ACK] Seq=933852 Ack=14593 Win=65535 Len=1122 [TCP segment of a reassembled PDU]"
"14514","02:18:54.446952","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=931608 Win=65490 Len=0"
"14515","02:18:54.447133","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=933852 Win=65490 Len=0"
"14516","02:18:54.447367","10.224.168.94" ,"10.140.212.198","TCP"     ,"1176"  ,"3478  >  52370 [PSH, ACK] Seq=931396 Ack=9957 Win=29200 Len=1122 [TCP segment of a reassembled PDU]"
"14517","02:18:54.447405","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=932518 Win=65535 Len=0"
"14518","02:18:54.447749","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=932518 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14519","02:18:54.447752","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=933978 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14520","02:18:54.447797","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=935438 Win=65535 Len=0"
"14521","02:18:54.448321","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52370 [ACK] Seq=935438 Ack=9957 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"14526","02:18:54.449604","10.224.168.94" ,"10.140.212.198","TCP"     ,"162"   ,"3478  >  52370 [PSH, ACK] Seq=936898 Ack=9957 Win=29200 Len=108 [TCP segment of a reassembled PDU]"
"14527","02:18:54.449665","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52370  >  3478 [ACK] Seq=9957 Ack=937006 Win=65535 Len=0"
"14532","02:18:54.451796","10.140.212.198","10.224.168.94" ,"TCP"     ,"136"   ,"52372  >  3478 [PSH, ACK] Seq=934974 Ack=14593 Win=65535 Len=82 [TCP segment of a reassembled PDU]"
"14533","02:18:54.452908","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52372 [ACK] Seq=14593 Ack=935056 Win=65490 Len=0"
