"No."  ,"Time"           ,"Source"        ,"Destination"   ,"Protocol","Length","Info"
"16972","02:24:25.152150","10.140.212.198","10.224.168.94" ,"TCP"     ,"1012"  ,"52522  >  3478 [PSH, ACK] Seq=540304 Ack=10309 Win=65535 Len=958 [TCP segment of a reassembled PDU]"
"16973","02:24:25.152162","10.140.212.198","10.224.168.94" ,"TCP"     ,"1012"  ,"52522  >  3478 [PSH, ACK] Seq=541262 Ack=10309 Win=65535 Len=958 [TCP segment of a reassembled PDU]"
"16974","02:24:25.152185","10.140.212.198","10.224.168.94" ,"TCP"     ,"1012"  ,"52522  >  3478 [PSH, ACK] Seq=542220 Ack=10309 Win=65535 Len=958 [TCP segment of a reassembled PDU]"
"16975","02:24:25.152198","10.140.212.198","10.224.168.94" ,"TCP"     ,"1012"  ,"52522  >  3478 [PSH, ACK] Seq=543178 Ack=10309 Win=65535 Len=958 [TCP segment of a reassembled PDU]"
"16976","02:24:25.152212","10.140.212.198","10.224.168.94" ,"TCP"     ,"1012"  ,"52522  >  3478 [PSH, ACK] Seq=544136 Ack=10309 Win=65535 Len=958 [TCP segment of a reassembled PDU]"
"16977","02:24:25.152246","10.140.212.198","10.224.168.94" ,"TCP"     ,"1012"  ,"52522  >  3478 [PSH, ACK] Seq=545094 Ack=10309 Win=65535 Len=958 [TCP segment of a reassembled PDU]"
"16978","02:24:25.152256","10.140.212.198","10.224.168.94" ,"TCP"     ,"1152"  ,"52522  >  3478 [PSH, ACK] Seq=546052 Ack=10309 Win=65535 Len=1098 [TCP segment of a reassembled PDU]"
"16979","02:24:25.153324","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10309 Ack=541262 Win=65134 Len=0"
"16980","02:24:25.153328","10.224.168.94" ,"10.140.212.198","TCP"     ,"140"   ,"3478  >  52522 [PSH, ACK] Seq=10309 Ack=541262 Win=65134 Len=86 [TCP segment of a reassembled PDU]"
"16981","02:24:25.153382","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52522  >  3478 [ACK] Seq=547150 Ack=10395 Win=65535 Len=0"
"16982","02:24:25.153615","10.224.168.94" ,"10.140.212.198","TCP"     ,"1163"  ,"3478  >  52519 [PSH, ACK] Seq=540471 Ack=6569 Win=29200 Len=1109 [TCP segment of a reassembled PDU]"
"16983","02:24:25.153655","10.140.212.198","10.224.168.94" ,"TCP"     ,"54"    ,"52519  >  3478 [ACK] Seq=6569 Ack=541580 Win=65535 Len=0"
"16984","02:24:25.154224","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52519 [ACK] Seq=541580 Ack=6569 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
"16985","02:24:25.154228","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10395 Ack=543178 Win=65134 Len=0"
"16986","02:24:25.154229","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10395 Ack=545094 Win=65134 Len=0"
"16987","02:24:25.154411","10.224.168.94" ,"10.140.212.198","TCP"     ,"54"    ,"3478  >  52522 [ACK] Seq=10395 Ack=547150 Win=65134 Len=0"
"16988","02:24:25.154415","10.224.168.94" ,"10.140.212.198","TCP"     ,"1514"  ,"3478  >  52519 [ACK] Seq=543040 Ack=6569 Win=29200 Len=1460 [TCP segment of a reassembled PDU]"
